title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Open tab when running next dev,2016-10-15T17:04:39Z,2016-10-17T01:49:33Z,2016-10-17T01:49:33Z,10,CHANGES_REQUESTED,32.748333333333335,1,0,Merged
Added async props test,2016-10-15T17:49:48Z,2016-10-16T04:32:58Z,2016-10-16T04:32:58Z,1,APPROVED,10.719444444444445,2,0,Merged
Reverting default props for errors.,2016-10-16T04:56:23Z,2016-10-16T22:44:26Z,2016-10-16T22:44:26Z,1,,17.800833333333333,3,0,Merged
Added warning when pages dir is not present,2016-10-16T05:50:18Z,2016-10-17T01:04:35Z,2016-10-17T01:04:35Z,1,,19.238055555555555,1,136,Merged
Added next init command for starting a new project,2016-10-16T06:34:49Z,2016-10-16T23:55:30Z,2016-10-16T23:55:30Z,1,,17.344722222222224,2,123,Merged
Load client js from cdn with fallback,2016-10-17T08:36:50Z,2016-10-25T05:50:33Z,2016-10-25T05:50:33Z,2,,189.22861111111112,1,48,Merged
Added glamor css,2016-10-20T02:12:40Z,2016-10-21T16:39:20Z,2016-10-21T16:39:20Z,2,CHANGES_REQUESTED,38.44444444444444,16,25,Merged
Exposing glamor style as default,2016-10-22T07:46:33Z,2016-10-25T06:57:44Z,2016-10-25T06:57:44Z,2,CHANGES_REQUESTED,71.18638888888889,1,51,Merged
Use detect-port to check if 3000 is already used.,2016-10-25T20:37:42Z,,2016-12-17T03:37:00Z,4,,1254.9883333333332,6,284,Closed
Add license MIT,2016-10-26T16:27:15Z,2016-10-29T10:56:46Z,2016-10-29T10:56:46Z,11,CHANGES_REQUESTED,66.49194444444444,1,0,Merged
Fix issue #85,2016-10-26T18:10:16Z,2016-10-26T23:49:05Z,2016-10-26T23:49:05Z,1,,5.646944444444444,1,467,Merged
README: improve getting started & contributing,2016-10-26T19:48:39Z,,2017-01-05T17:30:31Z,3,CHANGES_REQUESTED,1701.6977777777777,1,183,Closed
batch update head contents,2016-10-28T07:54:38Z,2016-10-28T14:39:20Z,2016-10-28T14:39:20Z,1,,6.745,3,119,Merged
next init: Create supplied directory if it does not exist.,2016-10-28T11:23:59Z,2016-11-03T10:07:15Z,2016-11-03T10:07:15Z,4,,142.7211111111111,2,524,Merged
JSX extension support,2016-10-30T21:44:22Z,,2016-12-01T23:03:15Z,1,,769.3147222222223,4,96,Closed
Add more Glamor help to README,2016-10-30T23:21:41Z,2016-10-31T07:32:51Z,2016-10-31T07:32:51Z,1,,8.186111111111112,1,284,Merged
expose webpack config,2016-11-01T10:37:55Z,,2016-11-10T15:40:33Z,1,,221.0438888888889,1,707,Closed
Explain where & when getInitialProps executes,2016-11-02T20:46:46Z,2016-11-04T11:38:55Z,2016-11-04T11:38:55Z,1,,38.869166666666665,1,219,Merged
Exploration of different config + expose webpack config,2016-11-07T14:53:28Z,2016-12-17T18:38:11Z,2016-12-17T18:38:11Z,24,,963.7452777777778,4,1078,Merged
webpack: load modules from NODE_PATH too,2016-11-09T10:13:00Z,2016-11-14T04:43:31Z,2016-11-14T04:43:31Z,2,,114.50861111111111,1,194,Merged
Instructions for images and static assets,2016-11-09T19:33:48Z,2016-11-17T16:03:04Z,2016-11-17T16:03:04Z,8,CHANGES_REQUESTED,188.48777777777778,1,55,Merged
[WIP] Add an example with page loading indicator,2016-11-14T01:58:53Z,,2016-12-25T03:00:42Z,8,CHANGES_REQUESTED,985.0302777777778,8,472,Closed
chore: add test coverage,2016-11-15T08:35:46Z,2016-12-02T01:37:22Z,2016-12-02T01:37:22Z,2,CHANGES_REQUESTED,401.02666666666664,11,1392,Merged
Adds friendly error plugin,2016-11-16T02:48:57Z,2016-12-02T01:22:15Z,2016-12-02T01:22:15Z,5,APPROVED,382.555,3,26,Merged
Handle runtime errors,2016-11-17T17:39:42Z,2016-11-24T14:03:16Z,2016-11-24T14:03:16Z,4,,164.39277777777778,9,506,Merged
Add default utf-8 charset.,2016-11-17T21:13:13Z,2016-11-17T23:06:54Z,2016-11-17T23:06:54Z,1,,1.8947222222222222,4,226,Merged
Remove webpack-dev-server,2016-11-18T23:06:00Z,2016-11-23T18:32:49Z,2016-11-23T18:32:49Z,2,,115.44694444444444,9,276,Merged
Source map support,2016-11-19T20:12:43Z,2016-12-02T01:43:38Z,2016-12-02T01:43:38Z,7,APPROVED,293.5152777777778,5,319,Merged
remove curly brackets,2016-11-20T13:45:54Z,,2016-12-02T06:35:59Z,1,,280.83472222222224,1,0,Closed
Upgrade packages & React v15.4.0,2016-11-21T08:24:40Z,2016-11-21T11:46:49Z,2016-11-21T11:46:49Z,1,,3.3691666666666666,2,0,Merged
Add support for webpack's CommonsChunkPlugin and remove next bundle,2016-11-22T12:50:21Z,2016-11-27T00:02:12Z,2016-11-27T00:02:12Z,28,,107.1975,13,282,Merged
Add support for webpack's CommonsChunkPlugin,2016-11-27T23:12:58Z,2016-11-28T00:15:56Z,2016-11-28T00:15:56Z,4,CHANGES_REQUESTED,1.0494444444444444,13,327,Merged
Add Polling for Bash on Windows,2016-11-28T05:36:22Z,2016-11-28T14:04:59Z,2016-11-28T14:04:59Z,4,,8.476944444444445,2,655,Merged
Programmatic API,2016-11-30T04:07:14Z,2016-12-16T20:33:08Z,2016-12-16T20:33:08Z,37,,400.4316666666667,28,1835,Merged
pull pages dir to variable,2016-12-02T04:10:35Z,,2016-12-03T20:45:18Z,2,,40.57861111111111,1,108,Closed
