title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Register based approach,2020-10-07T15:31:57Z,,2020-11-26T17:17:03Z,1,REVIEW_REQUIRED,1201.7516666666668,11,10,Closed
Updates to match spec,2020-12-20T15:02:44Z,2020-12-30T20:25:46Z,2020-12-30T20:25:47Z,1,REVIEW_REQUIRED,245.3838888888889,6,269,Merged
Update opcodes list,2021-05-03T22:20:43Z,2021-05-25T18:49:19Z,2021-05-25T18:49:19Z,14,REVIEW_REQUIRED,524.4766666666667,41,387,Merged
Add test and format CI,2021-05-18T21:34:11Z,2021-05-19T13:20:17Z,2021-05-19T13:20:17Z,5,REVIEW_REQUIRED,15.768333333333333,10,150,Merged
Update test CI,2021-05-19T22:09:07Z,2021-05-20T18:35:26Z,2021-05-20T18:35:26Z,1,REVIEW_REQUIRED,20.43861111111111,1,86,Merged
Remove Travis config,2021-05-25T18:52:03Z,2021-05-25T21:27:57Z,2021-05-25T21:27:57Z,1,REVIEW_REQUIRED,2.598333333333333,2,0,Merged
Change LW and SW to word-aligned immediate,2021-05-26T17:21:23Z,2021-05-26T22:36:23Z,2021-05-26T22:36:23Z,3,REVIEW_REQUIRED,5.25,2,155,Merged
Mint and burn,2021-05-26T22:37:13Z,2021-05-30T22:27:22Z,2021-05-30T22:27:22Z,8,REVIEW_REQUIRED,95.83583333333333,17,0,Merged
Rename crate to `fuel-core`,2021-05-31T11:24:09Z,2021-05-31T16:44:47Z,2021-05-31T16:44:47Z,3,REVIEW_REQUIRED,5.3438888888888885,13,169,Merged
Add data backend traits,2021-05-31T21:23:46Z,,2021-06-03T17:12:24Z,2,REVIEW_REQUIRED,67.81055555555555,30,268,Closed
Remove VM implementation from repo,2021-06-03T17:10:10Z,2021-06-03T21:16:57Z,2021-06-03T21:16:57Z,1,REVIEW_REQUIRED,4.1130555555555555,35,0,Merged
