title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Update README.md,2017-04-20T02:59:48Z,2017-04-20T16:52:38Z,2017-04-20T16:52:38Z,1,APPROVED,13.880555555555556,1,0,Merged
Parameterize email/password in API Postman collection,2017-11-12T04:56:47Z,2017-11-12T22:12:00Z,2017-11-12T22:12:00Z,1,APPROVED,17.253611111111113,2,94,Merged
Add Fullstack section and description,2017-11-13T23:48:02Z,2017-11-15T19:01:09Z,2017-11-15T19:01:10Z,1,APPROVED,43.21861111111111,1,60,Merged
README: Add WIP fullstack Firebase,2018-04-16T15:02:48Z,2018-04-16T21:02:36Z,2018-04-16T21:02:36Z,1,APPROVED,5.996666666666667,1,0,Merged
Add links to objective comparisons,2018-05-04T09:21:51Z,2018-05-06T03:44:31Z,2018-05-06T03:44:31Z,1,APPROVED,42.37777777777778,1,0,Merged
Generate README with ranked repos automatically,2018-06-01T13:17:50Z,2018-06-04T13:10:52Z,2018-06-04T13:10:52Z,1,APPROVED,71.88388888888889,8,433,Merged
Auto-update README,2018-06-04T15:18:42Z,2018-06-04T20:15:20Z,2018-06-04T20:15:20Z,1,APPROVED,4.943888888888889,1,0,Merged
doc how to use the supplied Postman configs,2018-07-02T04:52:41Z,2018-07-02T16:02:07Z,2018-07-02T16:02:07Z,2,APPROVED,11.157222222222222,1,0,Merged
"Fix errors, remove unnecessary/empty words, concise",2018-07-18T02:16:36Z,,2018-10-29T17:55:30Z,1,CHANGES_REQUESTED,2487.6483333333335,2,328,Closed
Add AWS DynamoDB Lambda Backend. Set bookshelf.js image to default realworld image for now.,2018-08-04T19:48:47Z,2018-08-04T21:29:19Z,2018-08-04T21:29:19Z,1,,1.6755555555555555,1,0,Merged
feat: Insert timestamp of sorting in README,2018-08-07T21:51:59Z,2018-08-08T23:02:00Z,2018-08-08T23:02:00Z,1,APPROVED,25.166944444444443,3,42,Merged
fix(API): A few fixes to Postman collection,2018-08-22T18:25:48Z,2018-09-01T21:58:19Z,2018-09-01T21:58:19Z,1,APPROVED,243.54194444444445,5,102,Merged
replaced ISO 8601 test with regular expression,2018-08-30T23:24:33Z,2018-10-29T17:49:50Z,2018-10-29T17:49:50Z,1,APPROVED,1434.421388888889,1,878,Merged
Add BE Haskell / Yasod,2018-08-31T00:07:27Z,2018-08-31T15:08:12Z,2018-08-31T15:08:12Z,1,APPROVED,15.0125,1,12,Merged
Add backend xesina/golang-echo-realworld-example-app,2018-10-23T00:34:54Z,2018-10-23T02:45:26Z,2018-10-23T02:45:26Z,1,APPROVED,2.1755555555555555,1,0,Merged
Add hyperapp to frontend repos.,2018-10-28T16:23:20Z,2018-10-29T16:09:47Z,2018-10-29T16:09:47Z,1,,23.774166666666666,1,0,Merged
feat: Add rankings one-per-line in comments to ease merges/updates,2018-10-30T17:23:58Z,2018-11-05T18:08:02Z,2018-11-05T18:08:02Z,1,APPROVED,144.73444444444445,2,727,Merged
Fix assertion description in Postman collection,2018-11-03T22:34:57Z,2018-11-05T17:51:25Z,2018-11-05T17:51:25Z,1,APPROVED,43.27444444444444,1,93,Merged
Add Ruby & Colmena backend example app,2018-11-06T14:20:28Z,2018-12-05T15:12:48Z,2018-12-05T15:12:48Z,1,APPROVED,696.8722222222223,1,253,Merged
