title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Disable middle mouse paste,2015-05-09T11:34:49Z,,2021-01-15T04:07:26Z,1,,49864.54361111111,3,188,Closed
:bug: `BufferedProcess.kill` now fully kills any child-process-eption that happens,2015-10-11T06:37:20Z,,2021-06-21T13:02:09Z,1,,49926.413611111115,2,134,Closed
Fix bug in grammar path scoring,2015-12-21T22:54:11Z,,2018-11-19T18:30:03Z,3,,25531.597777777777,2,183,Closed
add TextEditor::onDidPasteText,2016-01-16T15:09:05Z,,2021-01-12T19:51:37Z,2,,43756.70888888889,2,73,Closed
Periodically save state and store in indexedDB,2016-01-27T18:20:10Z,2016-02-16T19:58:04Z,2016-02-16T19:58:04Z,1,,481.63166666666666,17,524,Merged
Add link to article on glob patterns,2016-02-09T23:12:32Z,2016-09-29T19:10:51Z,2016-09-29T19:10:51Z,1,,5587.9719444444445,1,237,Merged
cli: Open stdin as a file when present,2016-03-17T15:28:12Z,,2021-09-01T16:51:47Z,1,,47857.393055555556,1,1186,Closed
Package URL handlers - mapping atom:// URIs to package functions,2016-04-07T22:52:17Z,2017-10-17T23:29:28Z,2017-10-17T23:29:28Z,9,,13392.619722222222,15,1837,Merged
:memo: [ci skip] add notes on 'apm' path in Windows,2016-04-20T15:48:09Z,2016-10-31T17:05:35Z,2016-10-31T17:05:35Z,2,,4657.290555555555,1,48,Merged
Use an async dialog box,2016-04-22T23:00:13Z,,2018-01-21T21:39:49Z,1,,15334.66,1,350,Closed
fix spec toShow(),2016-05-18T22:17:52Z,2021-05-24T04:23:46Z,2021-05-24T04:23:46Z,1,,43950.098333333335,1,466,Merged
Remove unused variables (advanced),2016-07-18T07:49:36Z,,2017-11-29T23:52:14Z,2,,11992.04388888889,29,1058,Closed
Pass the menu item when executing menu command,2016-08-16T03:28:21Z,,2021-09-06T03:24:15Z,1,,44327.931666666664,1,394,Closed
Simplify Environment Patching,2016-08-31T06:16:37Z,2016-09-08T19:55:19Z,2016-09-08T19:55:20Z,1,,205.645,3,675,Merged
Simplify Windows build instructions,2016-09-15T02:58:14Z,2016-09-22T03:09:15Z,2016-09-22T03:09:15Z,3,,168.1836111111111,1,10,Merged
Use inline source maps when transpiling coffee-script,2016-09-17T18:52:23Z,2016-10-01T21:52:43Z,2016-10-01T21:52:43Z,5,,339.00555555555553,3,371,Merged
Adds support for variable-width terminals,2016-09-27T18:41:29Z,2016-09-29T18:36:54Z,2016-09-29T18:36:54Z,2,,47.923611111111114,2,370,Merged
Add textEditors.getActiveTextEditor() method,2016-09-28T09:41:57Z,2021-01-27T06:54:05Z,2021-01-27T06:54:05Z,2,,37965.20222222222,3,444,Merged
Fix for #10474,2016-10-09T20:01:22Z,2016-10-26T23:35:43Z,2016-10-26T23:35:43Z,2,,411.5725,3,490,Merged
6075 focus tab on save prompt,2016-10-10T11:05:46Z,,2016-11-18T08:07:59Z,1,,933.0369444444444,1,1465,Closed
Optimize menu sorting,2016-10-11T06:09:13Z,,2016-10-28T03:55:06Z,1,,405.76472222222225,2,160,Closed
Update atom.desktop.in,2016-10-12T08:26:01Z,,2021-05-28T15:30:44Z,4,,40543.07861111111,1,463,Closed
make script/build parse args first and supports -h options,2016-10-14T06:48:35Z,,2016-10-17T02:42:26Z,4,,67.8975,1,275,Closed
README.md Tranlation to Simplified Chinese,2016-10-14T09:49:23Z,,2021-05-21T20:09:24Z,1,,40330.33361111111,1,361,Closed
Fix keystroke resolution problems on Linux,2016-10-14T13:59:10Z,2016-10-25T01:29:12Z,2016-10-25T01:29:12Z,1,,251.50055555555556,3,118,Merged
Convert ConfigSchema to JS,2016-10-15T21:06:49Z,2016-10-16T21:47:56Z,2016-10-16T21:47:56Z,4,,24.685277777777777,1,217,Merged
Update keybinding,2016-10-17T13:28:26Z,2017-01-10T20:31:41Z,2017-01-10T20:31:41Z,2,,2047.0541666666666,4,0,Merged
Added `scrollBounce` to `webPreferences`,2016-10-19T20:07:41Z,,2021-01-25T16:58:11Z,2,,37412.84166666667,1,0,Closed
macOS: Let atom.sh find itself when run from an .app,2016-10-21T07:40:37Z,2016-12-08T18:11:35Z,2016-12-08T18:11:35Z,1,,1162.516111111111,1,608,Merged
Update transpilation pipeline,2016-10-27T18:13:22Z,,2016-10-28T20:26:37Z,1,,26.220833333333335,2,1542,Closed
Introduce follow through behavior for tooltips,2016-10-29T02:14:40Z,2016-11-02T14:31:19Z,2016-11-02T14:31:19Z,2,,108.2775,3,821,Merged
Per-package transpilation,2016-10-29T21:46:38Z,2016-11-01T16:58:02Z,2016-11-01T16:58:02Z,5,,67.19,5,2338,Merged
Convert a bunch of small files to JS,2016-10-31T03:14:18Z,,2016-12-24T03:13:00Z,2,,1295.9783333333332,26,130,Closed
Raising exceptions in test mode (Issue: #10079) ,2016-10-31T20:14:48Z,,2017-01-18T18:46:44Z,5,,1894.5322222222221,1,0,Closed
Consolidate log files,2016-11-01T04:51:19Z,2021-01-19T04:13:59Z,2021-01-19T04:13:59Z,2,,36959.37777777778,1,35,Merged
"Timeout when invoking the shell, log information to the console",2016-11-10T21:24:35Z,2016-11-10T22:48:41Z,2016-11-10T22:48:41Z,1,,1.4016666666666666,1,28,Merged
fix text selection and cursor position in lines with rtl text,2016-11-11T11:03:20Z,2016-12-15T22:37:54Z,2016-12-15T22:37:54Z,1,,827.5761111111111,2,608,Merged
Use spawn instead of execFile and clean up running processes on process exit,2016-11-13T14:34:40Z,2016-11-15T09:15:58Z,2016-11-15T09:15:58Z,3,,42.68833333333333,4,316,Merged
Flush DOM before displaying context menu,2016-11-18T18:30:03Z,2016-12-06T13:04:30Z,2016-12-06T13:04:30Z,2,,426.57416666666666,2,1693,Merged
"Move ""Fold all"" menu entry to above the ""Unfold all"" entry",2016-11-20T01:35:20Z,2016-11-20T05:20:51Z,2016-11-20T05:20:51Z,1,,3.758611111111111,3,71,Merged
Call `openDevTools` on `WebContents` rather than on `BrowserWindow`,2016-11-21T17:46:18Z,2016-11-21T19:01:03Z,2016-11-21T19:01:03Z,1,,1.2458333333333333,1,152,Merged
Add Flatpak support,2016-11-21T22:22:45Z,,2017-11-03T19:00:47Z,2,,8324.63388888889,6,2300,Closed
Add initialize() hook to packages,2016-11-30T00:36:56Z,2016-12-01T08:53:43Z,2016-12-01T08:53:43Z,4,,32.27972222222222,3,457,Merged
Specs: test reliability & auto temp clean-up,2016-12-01T05:54:20Z,2016-12-01T21:24:12Z,2016-12-01T21:24:12Z,2,,15.497777777777777,21,470,Merged
