title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix: resolve hydration error,2023-03-27T09:50:26Z,2023-03-27T13:59:19Z,2023-03-27T13:59:19Z,2,,4.148055555555556,3,0,Merged
1,2023-03-28T09:16:37Z,,2023-03-28T10:52:07Z,3,,1.5916666666666666,7,3,Closed
supports the display of line breaks in Markdown,2023-03-29T08:29:06Z,2023-03-29T10:05:53Z,2023-03-29T10:05:53Z,3,,1.6130555555555555,6,56,Merged
feat: import ramarkBreaks plugin,2023-03-30T02:02:44Z,,2023-03-30T04:19:53Z,4,,2.285833333333333,0,17,Closed
Update: locales in spanish,2023-03-31T00:54:21Z,2023-03-31T08:45:29Z,2023-03-31T08:45:29Z,1,,7.852222222222222,5,406,Merged
feat: add editable mode ,2023-04-01T07:14:17Z,,2023-04-05T20:12:39Z,2,,108.97277777777778,8,14,Closed
feat: textarea with adaptive height,2023-04-01T09:36:36Z,2023-04-07T17:01:52Z,2023-04-07T17:01:52Z,1,,151.42111111111112,9,327,Merged
fix: fix history message count,2023-04-02T11:43:32Z,2023-04-02T13:42:46Z,2023-04-02T13:42:46Z,4,,1.9872222222222222,1,75,Merged
Added support for Arabic language and right-to-left direction,2023-04-05T06:12:25Z,,2023-06-24T04:19:08Z,2,,1918.1119444444444,0,514,Closed
Update tw.ts,2023-04-14T08:11:50Z,,2023-04-14T11:21:24Z,1,,3.1594444444444445,2,5,Closed
Add Azure OpenAI API support.,2023-04-19T12:19:58Z,,2023-11-09T18:44:10Z,3,,4902.403333333334,19,1037,Closed
v2.0 Prompt Templates,2023-04-21T17:18:11Z,2023-04-27T17:23:43Z,2023-04-27T17:23:43Z,1,,144.09222222222223,64,0,Merged
Add Norwegian translation,2023-04-24T20:59:37Z,2023-06-16T16:33:26Z,2023-06-16T16:33:26Z,2,,1267.5636111111112,3,0,Merged
Add a description for the analytics function of the Vercel platform,2023-04-26T01:35:32Z,,2023-05-04T06:56:24Z,1,,197.34777777777776,2,108,Closed
完善会话默认选中的逻辑、修复标题错误的问题,2023-04-28T04:50:38Z,,2023-05-01T15:46:51Z,5,,82.93694444444445,4,23,Closed
Improve the UX when delete ChatItem,2023-04-28T17:52:06Z,,2023-05-01T15:46:34Z,1,,69.90777777777778,5,235,Closed
"fix: Fix Usage query failure and optimize query logic, and resolve markdown link issue",2023-04-30T06:44:07Z,,2023-05-01T15:45:59Z,1,,33.03111111111111,2,1082,Closed
"feat: #1303 and fix #1294 1307, new modal style",2023-05-08T14:50:50Z,2023-05-08T16:44:54Z,2023-05-08T16:44:54Z,4,,1.9011111111111112,13,0,Merged
feat: close #1433 add french translation,2023-05-12T00:22:49Z,2023-05-17T02:46:30Z,2023-05-17T02:46:30Z,2,,122.39472222222223,14,226,Merged
