title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
log wandb multi-epoch,2023-03-28T18:49:03Z,2023-03-29T17:50:27Z,2023-03-29T17:50:27Z,1,APPROVED,23.023333333333333,1,0,Merged
Fix typo in TRAINING_LOG.md,2023-03-30T15:55:02Z,2023-04-03T21:18:11Z,2023-04-03T21:18:11Z,2,APPROVED,101.38583333333334,1,25,Merged
Updated tokenize_inputs function to handle long prompts and responses,2023-03-31T01:06:31Z,,2023-04-13T21:40:11Z,1,REVIEW_REQUIRED,332.56111111111113,1,174,Closed
adds to README.md,2023-03-31T07:55:44Z,2023-04-06T18:17:32Z,2023-04-06T18:17:33Z,3,APPROVED,154.36333333333334,1,466,Merged
Add sha512sum for quantized models in README.md,2023-03-31T10:22:42Z,,2023-04-03T21:22:26Z,3,REVIEW_REQUIRED,82.99555555555555,1,245,Closed
Added vscode files to gitignore,2023-03-31T23:16:50Z,2023-04-03T21:16:23Z,2023-04-03T21:16:23Z,1,REVIEW_REQUIRED,69.9925,1,0,Merged
Made capitalization consistent,2023-04-01T00:26:25Z,2023-04-03T21:17:52Z,2023-04-03T21:17:52Z,1,APPROVED,68.8575,1,0,Merged
Create launcher.sh,2023-04-01T15:30:54Z,2023-04-03T21:20:29Z,2023-04-03T21:20:29Z,1,APPROVED,53.826388888888886,1,283,Merged
Create gpt4all.py,2023-04-01T19:47:28Z,,2023-04-03T21:15:59Z,2,REVIEW_REQUIRED,49.47527777777778,1,91,Closed
DatasetDict to dataset object.,2023-04-02T03:57:02Z,2023-04-03T21:34:23Z,2023-04-03T21:34:23Z,1,APPROVED,41.6225,1,3378,Merged
Update README.md,2023-04-02T04:24:36Z,2023-04-06T18:17:06Z,2023-04-06T18:17:06Z,1,APPROVED,109.875,1,33,Merged
Fix `git submodule` instructions,2023-04-02T16:20:23Z,2023-04-03T21:21:51Z,2023-04-03T21:21:51Z,1,APPROVED,29.024444444444445,1,152,Merged
Fixing Small Punctuation and Capitalization Issues,2023-04-04T00:13:49Z,2023-04-06T18:15:57Z,2023-04-06T18:15:57Z,3,APPROVED,66.03555555555556,1,90,Merged
add dockerfile,2023-04-04T04:43:01Z,,2023-05-11T16:34:41Z,3,REVIEW_REQUIRED,899.8611111111111,2,828,Closed
Update README.md,2023-04-06T22:12:26Z,2023-04-07T14:50:28Z,2023-04-07T14:50:28Z,1,APPROVED,16.63388888888889,1,78,Merged
Slight cleanup,2023-04-06T23:59:36Z,2023-04-07T14:50:56Z,2023-04-07T14:50:56Z,3,APPROVED,14.855555555555556,1,0,Merged
-,2023-04-07T13:34:57Z,,2023-04-15T16:34:04Z,1,REVIEW_REQUIRED,194.98527777777778,1,0,Closed
change RAM into VRAM to avoid confusion: Update README.md,2023-04-08T03:57:01Z,,2023-05-11T16:35:09Z,1,REVIEW_REQUIRED,804.6355555555556,1,139,Closed
Update expired discord link,2023-04-13T19:49:32Z,2023-04-13T21:39:19Z,2023-04-13T21:39:19Z,1,APPROVED,1.8297222222222222,1,0,Merged
PyCharm's auto-fixes ,2023-04-15T18:22:32Z,,2023-04-17T23:59:04Z,1,REVIEW_REQUIRED,53.60888888888889,10,192,Closed
Update README.md,2023-04-19T08:34:05Z,,2023-05-11T16:33:00Z,2,REVIEW_REQUIRED,535.9819444444445,1,0,Closed
Created using Colaboratory,2023-04-24T06:31:43Z,,2023-05-11T16:32:07Z,1,REVIEW_REQUIRED,418.00666666666666,1,0,Closed
Update README.md,2023-04-27T18:42:51Z,,2023-05-11T16:31:58Z,2,REVIEW_REQUIRED,333.8186111111111,1,32,Closed
Update README.md,2023-04-28T06:54:47Z,,2023-05-11T16:32:22Z,1,REVIEW_REQUIRED,321.62638888888887,1,11,Closed
Update README.md,2023-04-29T22:07:38Z,2023-05-02T14:15:40Z,2023-05-02T14:15:40Z,1,APPROVED,64.13388888888889,1,19,Merged
Golang bindings,2023-05-11T10:48:32Z,2023-05-15T16:45:56Z,2023-05-15T16:45:57Z,2,APPROVED,101.95666666666666,11,280,Merged
fix: use right conversion script,2023-05-11T15:21:07Z,2023-05-11T16:36:42Z,2023-05-11T16:36:42Z,1,APPROVED,1.2597222222222222,1,127,Merged
Contributing Guidelines and README,2023-05-11T16:33:30Z,2023-05-11T18:18:11Z,2023-05-11T18:18:11Z,2,APPROVED,1.7447222222222223,4,68,Merged
PR Template Folder Rename and Small README update,2023-05-11T18:30:19Z,2023-05-12T14:21:14Z,2023-05-12T14:21:14Z,1,APPROVED,19.84861111111111,2,145,Merged
Update README.md,2023-05-11T19:31:26Z,2023-05-11T20:49:15Z,2023-05-11T20:49:15Z,2,APPROVED,1.2969444444444445,1,39,Merged
CircleCI Step to Clear Cloudfront Cache,2023-05-12T15:19:53Z,2023-05-12T16:27:48Z,2023-05-12T16:27:48Z,1,APPROVED,1.1319444444444444,1,0,Merged
MPT Python Bindings,2023-05-12T17:11:20Z,2023-05-12T19:21:56Z,2023-05-12T19:21:56Z,1,APPROVED,2.1766666666666667,7,111,Merged
Cleanup the chatllm properly.,2023-05-12T18:13:57Z,2023-05-12T21:11:52Z,2023-05-12T21:11:53Z,1,APPROVED,2.9652777777777777,4,0,Merged
gpt4all-backend: Add llmodel create and destroy functions,2023-05-13T11:17:20Z,2023-05-16T15:36:46Z,2023-05-16T15:36:46Z,10,APPROVED,76.32388888888889,3,1184,Merged
adds a simple cli chat repl,2023-05-13T23:21:32Z,2023-05-16T20:47:54Z,2023-05-16T20:47:54Z,1,APPROVED,69.43944444444445,2,306,Merged
"codespell: config, action + some typos fixed",2023-05-15T20:46:08Z,2023-05-16T15:33:59Z,2023-05-16T15:33:59Z,1,APPROVED,18.7975,7,518,Merged
"gpt4all-backend: Fix MPT buffer use, deduplicate sampling and tokenizing",2023-05-16T00:57:52Z,2023-05-16T14:30:19Z,2023-05-16T14:30:19Z,1,APPROVED,13.540833333333333,4,175,Merged
nodejs bindings,2023-05-16T18:10:26Z,2023-05-22T19:55:22Z,2023-05-22T19:55:22Z,5,APPROVED,145.7488888888889,14,712,Merged
backend: fix buffer overrun in repeat penalty code,2023-05-17T06:26:19Z,2023-05-17T11:54:10Z,2023-05-17T11:54:10Z,2,APPROVED,5.464166666666666,3,208,Merged
Fix typo in README,2023-05-17T12:43:21Z,2023-05-17T13:56:21Z,2023-05-17T13:56:21Z,1,APPROVED,1.2166666666666666,1,725,Merged
Dynamic loading squashed,2023-05-18T20:26:16Z,2023-05-19T12:54:54Z,2023-05-19T12:54:54Z,8,,16.477222222222224,32,392,Merged
Update build_and_run.md,2023-05-18T22:36:44Z,2023-05-19T01:40:18Z,2023-05-19T01:40:18Z,1,REVIEW_REQUIRED,3.0594444444444444,1,55,Merged
multiple prompt,2023-05-19T01:26:43Z,,2023-05-19T14:20:37Z,4,REVIEW_REQUIRED,12.898333333333333,1,712,Closed
Add llama compatibility with new ggml quantization,2023-05-19T13:30:21Z,2023-05-21T14:49:42Z,2023-05-21T14:49:42Z,19,CHANGES_REQUESTED,49.3225,10,355,Merged
"Fix #614, where relative paths to includes makes go builds fail",2023-05-19T20:55:09Z,2023-05-20T20:36:30Z,2023-05-20T20:36:30Z,1,APPROVED,23.689166666666665,1,1204,Merged
C# bindings,2023-05-20T18:22:04Z,2023-05-22T19:56:49Z,2023-05-22T19:56:49Z,6,APPROVED,49.579166666666666,33,250,Merged
Update python binding prompt formatting,2023-05-20T23:26:38Z,,2023-07-12T06:01:23Z,2,CHANGES_REQUESTED,1254.5791666666667,2,2107,Closed
Add a question about Prompt Templates,2023-05-21T11:21:53Z,,2023-05-22T21:23:06Z,3,CHANGES_REQUESTED,34.02027777777778,1,883,Closed
Improved tokenizer for MPT and GPT-J models,2023-05-21T13:06:26Z,2023-05-30T16:05:57Z,2023-05-30T16:05:57Z,3,APPROVED,218.99194444444444,14,2920,Merged
Improved documentation landing page,2023-05-21T16:20:08Z,2023-05-22T03:14:18Z,2023-05-22T03:14:18Z,1,APPROVED,10.902777777777779,2,747,Merged
