title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Http proxy support,2016-07-05T11:47:40Z,2016-08-24T16:05:26Z,2016-08-24T16:05:26Z,1,,1204.296111111111,3,128,Merged
Adding support for request cancellation,2016-09-18T21:21:27Z,2016-10-10T16:31:44Z,2016-10-10T16:31:44Z,9,APPROVED,523.1713888888889,18,130,Merged
Add OPTIONS-method as a shortcut,2016-09-29T16:15:07Z,2017-03-27T04:06:25Z,2017-03-27T04:06:25Z,2,,4283.855,3,73,Merged
Make headers with the same name be returned as array,2016-10-11T01:40:09Z,,2017-04-08T11:31:54Z,2,CHANGES_REQUESTED,4305.8625,2,92,Closed
Support proxy auth,2016-10-14T13:04:29Z,2016-10-19T09:02:42Z,2016-10-19T09:02:42Z,2,,115.97027777777778,3,51,Merged
Minor grammar/line length changes,2016-11-21T21:30:11Z,2017-04-08T11:29:38Z,2017-04-08T11:29:38Z,3,,3301.9908333333333,1,0,Merged
Update parseHeaders to match node http behavior,2016-11-28T04:35:06Z,,2017-08-12T12:56:40Z,1,,6176.359444444444,1,183,Closed
Adding interpretation of no_proxy,2016-12-01T21:35:53Z,,2018-08-30T18:21:44Z,3,,15284.764166666666,5,164,Closed
Fixing combineURLs to support an empty relativeURL,2016-12-07T01:29:51Z,2016-12-08T05:23:45Z,2016-12-08T05:23:45Z,5,APPROVED,27.898333333333333,2,318,Merged
Parse the JSON response if response is undefined (fix #265),2017-01-18T09:04:08Z,,2020-05-22T14:00:10Z,2,,29284.93388888889,1,126,Closed
Enable writings node.js buffers directly,2017-02-02T21:30:07Z,,2017-04-08T12:00:41Z,1,CHANGES_REQUESTED,1550.5094444444444,3,325,Closed
Adding a way to disable all proxy processing,2017-02-07T23:55:41Z,2017-08-14T11:38:44Z,2017-08-14T11:38:44Z,3,,4499.7175,3,465,Merged
Change http request method in Axios request method,2017-03-07T09:35:43Z,,2018-03-08T16:18:12Z,3,CHANGES_REQUESTED,8790.708055555555,1,85,Closed
Updating follow-redirects to 1.1.0,2017-03-24T02:19:32Z,,2017-03-29T17:31:46Z,1,APPROVED,135.20388888888888,6,81,Closed
Return the last request made in axios response,2017-04-08T11:02:13Z,2017-04-08T18:26:05Z,2017-04-08T18:26:05Z,1,APPROVED,7.397777777777778,3,333,Merged
Include underlying request in errors,2017-04-08T19:45:14Z,2017-04-15T16:18:44Z,2017-04-15T16:18:44Z,1,APPROVED,164.55833333333334,10,53,Merged
Pass agents to follow redirects,2017-04-08T20:12:00Z,,2020-06-25T16:45:27Z,5,,28172.5575,4,234,Closed
Adding ability to transform data based on status,2017-04-14T08:30:53Z,,2020-05-22T14:05:56Z,2,,27221.584166666667,10,821,Closed
Adds option to specify character set in responses (with http adapter),2017-04-27T16:17:12Z,2018-03-10T17:13:05Z,2018-03-10T17:13:05Z,3,CHANGES_REQUESTED,7608.931388888889,2,317,Merged
Duplicate header handling,2017-04-29T04:00:10Z,2017-08-12T12:58:10Z,2017-08-12T12:58:10Z,1,,2528.9666666666667,2,371,Merged
Add CDNJS version badge in README.md,2017-05-02T03:47:13Z,2020-05-22T14:09:10Z,2020-05-22T14:09:10Z,5,,26794.365833333333,1,42,Merged
No buffer in browser,2017-05-04T22:00:30Z,2017-05-31T02:31:43Z,2017-05-31T02:31:43Z,1,,628.5202777777778,3,122,Merged
Convert the method parameter to lowercase,2017-05-23T07:37:11Z,,2017-05-31T14:49:04Z,1,,199.19805555555556,0,232,Closed
"added unpkg ""dist/axios.js""",2017-06-04T11:23:30Z,,2018-09-06T12:07:51Z,1,,11016.739166666666,1,57,Closed
Fixing http adapter to allow HTTPS connections via HTTP,2017-06-15T12:14:04Z,2018-07-05T06:51:11Z,2018-07-05T06:51:11Z,5,,9234.618611111111,2,779,Merged
Add documentation about how to implement `promise.prototype.finally` in ES6,2017-06-20T04:12:13Z,,2017-07-10T07:56:58Z,1,,483.74583333333334,1,75,Closed
Decorate resolve and reject to clear timeout in all cases,2017-08-12T13:52:57Z,2018-03-08T17:35:59Z,2018-03-08T17:35:59Z,2,,4995.7172222222225,1,163,Merged
Response headers missing,2017-08-21T01:54:18Z,,2018-01-09T01:02:23Z,1,,3383.134722222222,1,630,Closed
Avoid concatenating chunks to calculate their total lenght,2017-09-01T21:50:56Z,,2020-05-22T14:14:58Z,1,,23848.400555555556,1,789,Closed
