title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Chaos/model args,2023-04-02T00:52:56Z,,2023-04-02T10:34:35Z,4,CHANGES_REQUESTED,9.694166666666666,13,62,Closed
fix typo in browse.py,2023-04-02T15:34:16Z,2023-04-02T22:52:40Z,2023-04-02T22:52:40Z,1,APPROVED,7.306666666666667,1,19,Merged
Add documentation,2023-04-02T17:06:08Z,2023-04-10T11:07:42Z,2023-04-10T11:07:42Z,7,APPROVED,186.0261111111111,16,250,Merged
implements #13,2023-04-02T18:20:26Z,,2023-04-04T23:20:05Z,2,REVIEW_REQUIRED,52.994166666666665,0,0,Closed
Remove `keys.py` and replace with `python-dotenv`,2023-04-02T19:05:24Z,2023-04-02T22:41:08Z,2023-04-02T22:41:08Z,1,APPROVED,3.5955555555555554,9,493,Merged
Fix mistake in docs,2023-04-02T19:15:53Z,2023-04-02T22:25:01Z,2023-04-02T22:25:01Z,1,APPROVED,3.152222222222222,1,130,Merged
Add Dockerfile and update requirements.txt.,2023-04-02T20:54:57Z,2023-04-02T22:21:25Z,2023-04-02T22:21:25Z,1,APPROVED,1.441111111111111,2,441,Merged
Makes it possible to use gpt-3.5,2023-04-02T21:42:14Z,2023-04-03T10:43:38Z,2023-04-03T10:43:38Z,13,APPROVED,13.023333333333333,21,563,Merged
devops cleanups,2023-04-02T23:08:23Z,,2023-04-14T21:27:03Z,1,REVIEW_REQUIRED,286.31111111111113,6,309,Closed
don't depend on the path script is run from,2023-04-02T23:09:10Z,2023-04-04T09:04:29Z,2023-04-04T09:04:29Z,6,APPROVED,33.92194444444444,1,276,Merged
Minor tweak to make ELEVEN_LABS_API_KEY optional,2023-04-03T05:56:28Z,,2023-04-09T13:48:03Z,1,REVIEW_REQUIRED,151.85972222222222,1,131,Closed
Fix JSON string escaping issue,2023-04-03T13:58:45Z,2023-04-15T21:01:39Z,2023-04-15T21:01:39Z,6,APPROVED,295.04833333333335,1,96,Merged
Fix: create file dir if it doesnt exist during write_to_file,2023-04-03T15:48:57Z,2023-04-03T23:27:37Z,2023-04-03T23:27:37Z,1,APPROVED,7.644444444444445,1,30,Merged
"Use Python 3 Pathlib standards, increased error handling",2023-04-03T16:31:34Z,,2023-07-07T05:18:09Z,5,REVIEW_REQUIRED,2268.776388888889,4,716,Closed
Work around install errors,2023-04-03T16:34:12Z,,2023-04-04T10:44:54Z,1,REVIEW_REQUIRED,18.178333333333335,1,149,Closed
