title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Convert character entities correctly,2016-12-01T20:32:01Z,2016-12-02T16:43:04Z,2016-12-02T16:43:04Z,1,,20.184166666666666,3,33,Merged
Add links to gulp and Metalsmith plugins,2016-12-02T11:42:32Z,2016-12-02T16:35:55Z,2016-12-02T16:35:55Z,2,,4.889722222222222,1,222,Merged
add editorconfig and flowconfig files,2016-12-05T08:16:22Z,2016-12-05T15:56:07Z,2016-12-05T15:56:07Z,2,,7.6625,2,312,Merged
CodeBuilder,2016-12-11T15:02:22Z,2016-12-12T13:46:08Z,2016-12-12T13:46:08Z,1,,22.729444444444443,15,1384,Merged
use setAttribute() for list attributes,2016-12-11T19:10:34Z,2016-12-12T13:31:34Z,2016-12-12T13:31:34Z,1,,18.35,3,83,Merged
throw if default export is not an object literal,2016-12-11T19:59:06Z,2016-12-12T13:31:24Z,2016-12-12T13:31:24Z,1,,17.538333333333334,6,67,Merged
helpers,2016-12-18T16:57:50Z,2016-12-20T15:41:06Z,2016-12-20T15:41:06Z,3,,46.721111111111114,12,985,Merged
make yield renderer names globally unique,2017-01-04T17:11:29Z,2017-01-04T18:45:14Z,2017-01-04T18:45:14Z,2,,1.5625,5,11,Merged
Add spread for attributes,2017-02-06T03:41:16Z,,2017-03-01T01:45:32Z,6,,550.0711111111111,14,681,Closed
Fix removing last key in object when it has a trailing comma,2017-03-19T08:04:54Z,2017-03-19T12:45:52Z,2017-03-19T12:45:52Z,2,,4.682777777777778,3,352,Merged
Deconflict `template` variable (#392),2017-03-19T16:52:41Z,2017-03-19T21:30:54Z,2017-03-19T21:30:54Z,8,,4.6369444444444445,12,440,Merged
Refactor,2017-04-04T22:27:53Z,2017-04-10T15:36:59Z,2017-04-10T15:36:59Z,1,,137.15166666666667,394,1068,Merged
ensure hoisted event handler names are globally unique,2017-04-11T13:39:03Z,2017-04-11T15:03:20Z,2017-04-11T15:03:20Z,1,APPROVED,1.4047222222222222,7,10,Merged
[WIP] catch hardcoded names that should be aliases,2017-04-11T14:11:04Z,2017-04-11T15:56:29Z,2017-04-11T15:56:29Z,1,APPROVED,1.7569444444444444,6,43,Merged
allow helpers to depend on one another,2017-04-14T02:19:40Z,2017-04-14T13:41:53Z,2017-04-14T13:41:53Z,1,APPROVED,11.370277777777778,5,11,Merged
Clone data before `set`,2017-04-14T02:29:41Z,2017-04-14T13:42:06Z,2017-04-14T13:42:06Z,1,APPROVED,11.206944444444444,7,236,Merged
validate bindings,2017-04-18T14:14:41Z,2017-04-19T01:20:33Z,2017-04-19T01:20:33Z,3,APPROVED,11.097777777777777,9,123,Merged
Deconflict variable names used in binding event handlers,2017-04-19T01:55:35Z,2017-04-19T13:08:59Z,2017-04-19T13:08:59Z,1,APPROVED,11.223333333333333,5,11,Merged
hoist variables where appropriate,2017-04-19T13:45:27Z,2017-04-19T21:28:20Z,2017-04-19T21:28:20Z,1,APPROVED,7.714722222222222,8,123,Merged
null out else block references when they are destroyed,2017-04-19T14:40:11Z,2017-04-19T21:28:45Z,2017-04-19T21:28:45Z,1,APPROVED,6.809444444444445,2,11,Merged
"rename root to state, and allow state to be used as context",2017-04-19T15:38:02Z,2017-04-19T22:08:12Z,2017-04-19T22:08:12Z,2,APPROVED,6.502777777777778,26,226,Merged
Transitions,2017-04-25T20:12:18Z,2017-05-03T16:48:57Z,2017-05-03T16:48:57Z,5,,188.61083333333335,54,240,Merged
Fix yield block placement,2017-05-04T13:34:41Z,2017-05-04T17:26:07Z,2017-05-04T17:26:07Z,3,APPROVED,3.857222222222222,4,11,Merged
warn on missing component,2017-06-11T19:46:09Z,2017-06-11T20:53:52Z,2017-06-11T20:53:52Z,1,APPROVED,1.128611111111111,3,101,Merged
only enforce static type if input is bound,2017-06-11T20:54:46Z,2017-06-12T01:33:52Z,2017-06-12T01:33:52Z,1,APPROVED,4.651666666666666,6,10,Merged
improve transition performance,2017-06-24T20:51:08Z,2017-06-25T17:07:19Z,2017-06-25T17:07:19Z,8,,20.26972222222222,21,686,Merged
Only apply svelte-123xyz attributes where necessary,2017-06-26T14:53:22Z,2017-07-05T16:04:16Z,2017-07-05T16:04:16Z,2,,217.18166666666667,130,445,Merged
alias #component in hoisted event handlers,2017-07-08T14:46:42Z,2017-07-08T15:51:11Z,2017-07-08T15:51:11Z,1,APPROVED,1.0747222222222221,3,10,Merged
[WIP] Update dependencies etc,2017-07-30T03:43:11Z,2017-08-04T02:14:30Z,2017-08-04T02:14:30Z,3,,118.52194444444444,20,246,Merged
Fix escaping/unescaping of text and attributes in SSR,2017-08-04T02:38:24Z,2017-08-04T18:24:17Z,2017-08-04T18:24:17Z,5,APPROVED,15.764722222222222,12,11,Merged
stack up append targets so that slotted content in nested components works in SSR mode,2017-08-31T15:11:41Z,2017-08-31T16:42:48Z,2017-08-31T16:42:48Z,1,APPROVED,1.5186111111111111,8,10,Merged
don't noop set/get until after component is destroyed,2017-08-31T17:26:49Z,2017-09-01T14:41:12Z,2017-09-01T14:41:12Z,1,APPROVED,21.239722222222223,17,11,Merged
a11y checks,2017-09-03T18:22:02Z,2017-09-05T17:55:15Z,2017-09-05T17:55:15Z,2,,47.55361111111111,74,4319,Merged
Minor fixes to new media bindings,2017-09-10T21:59:43Z,,2017-09-12T12:27:45Z,6,,38.46722222222222,3,209,Closed
escape shadow DOM CSS,2017-09-12T22:26:40Z,2017-09-13T18:34:25Z,2017-09-13T18:34:25Z,1,APPROVED,20.129166666666666,5,10,Merged
computed store properties,2017-11-25T17:12:21Z,2017-11-25T22:18:29Z,2017-11-25T22:18:29Z,1,,5.102222222222222,58,516,Merged
Expose root as a public property,2017-12-13T10:23:23Z,2017-12-13T23:20:29Z,2017-12-13T23:20:29Z,1,APPROVED,12.951666666666666,33,2517,Merged
optimise <title>,2017-12-24T20:51:56Z,2017-12-30T17:50:37Z,2017-12-30T17:50:37Z,1,APPROVED,140.97805555555556,18,11,Merged
add option to disable two-way binding,2017-12-30T15:39:36Z,2017-12-30T17:49:45Z,2017-12-30T17:49:45Z,1,APPROVED,2.1691666666666665,7,31,Merged
lock scroll bindings to allow tweening,2018-01-05T02:35:46Z,2018-01-06T21:45:47Z,2018-01-06T21:45:47Z,3,APPROVED,43.16694444444445,3,188,Merged
Escape entities correctly when compiling to static HTML,2018-01-05T03:34:33Z,2018-01-05T15:50:11Z,2018-01-05T15:50:11Z,1,APPROVED,12.260555555555555,6,11,Merged
deconflict referenced globals,2018-01-11T02:49:00Z,2018-01-11T14:07:53Z,2018-01-11T14:07:53Z,3,APPROVED,11.314722222222223,8,116,Merged
validate contents of await blocks,2018-01-11T03:05:20Z,2018-01-11T18:43:02Z,2018-01-11T18:43:02Z,3,APPROVED,15.628333333333334,3,31,Merged
fire oncreate handlers for components inside await blocks,2018-01-11T03:17:53Z,2018-01-13T23:06:31Z,2018-01-13T23:06:31Z,1,APPROVED,67.81055555555555,4,67,Merged
be more relaxed about attribute casing,2018-01-11T03:34:18Z,2018-01-11T18:42:49Z,2018-01-11T18:42:49Z,1,APPROVED,15.141944444444444,3,11,Merged
Base scoping hashes on CSS content rather than entire file,2018-01-13T17:05:59Z,,2018-01-19T09:29:10Z,3,,136.3863888888889,15,66,Closed
Enforce valid names for computed properties,2018-01-14T03:56:31Z,2018-01-18T16:48:41Z,2018-01-18T16:48:41Z,7,APPROVED,108.86944444444444,10,945,Merged
Base stylesheet.id on CSS contents,2018-01-19T02:06:15Z,2018-01-20T15:19:26Z,2018-01-20T15:19:26Z,1,APPROVED,37.219722222222224,18,171,Merged
remove empty style blocks in prod mode,2018-02-03T23:00:23Z,2018-02-07T13:08:23Z,2018-02-07T13:08:23Z,1,APPROVED,86.13333333333334,8,11,Merged
"in custom elements, call oncreate in connectedCallback",2018-02-04T04:27:07Z,2018-02-10T16:02:15Z,2018-02-10T16:02:15Z,1,APPROVED,155.58555555555554,5,155,Merged
component store bindings,2018-02-04T15:52:23Z,2018-02-09T15:04:53Z,2018-02-09T15:04:53Z,1,APPROVED,119.20833333333333,4,11,Merged
prevent erroneous missing data warnings for custom elements,2018-02-04T16:26:55Z,2018-02-09T13:38:44Z,2018-02-09T13:38:44Z,1,APPROVED,117.19694444444444,5,11,Merged
fix capitalize warning,2018-02-18T15:35:43Z,2018-02-23T13:41:33Z,2018-02-23T13:41:33Z,1,APPROVED,118.09722222222223,2,331,Merged
"only apply key to keyed each block, not its children",2018-03-05T15:51:27Z,2018-03-05T20:40:44Z,2018-03-05T20:40:44Z,1,APPROVED,4.8213888888888885,38,222,Merged
allow SVG elements to have scoped CSS,2018-03-12T12:15:17Z,2018-03-12T14:41:32Z,2018-03-12T14:41:32Z,2,,2.4375,6,12,Merged
Adds actions to components,2018-03-16T04:12:19Z,2018-03-24T16:23:43Z,2018-03-24T16:23:43Z,3,,204.19,33,1607,Merged
v2,2018-04-15T22:09:06Z,2018-04-19T12:54:34Z,2018-04-19T12:54:34Z,6,,86.75777777777778,1245,16,Merged
Collapse hydrate logic,2018-04-30T00:09:29Z,2018-04-30T12:58:15Z,2018-04-30T12:58:15Z,1,APPROVED,12.812777777777777,57,352,Merged
integrate CLI,2018-04-30T00:26:35Z,2018-04-30T23:49:41Z,2018-04-30T23:49:41Z,3,APPROVED,23.385,57,12,Merged
only overwrite this in event handlers for custom events,2018-05-01T00:26:07Z,2018-05-01T01:36:51Z,2018-05-01T01:36:51Z,1,APPROVED,1.1788888888888889,3,11,Merged
cross-platform test setup via shelljs,2018-05-17T17:38:05Z,2018-05-24T12:37:18Z,2018-05-24T12:37:18Z,1,,162.98694444444445,3,433,Merged
add location info to nodes,2018-05-26T17:56:27Z,2018-05-28T23:40:40Z,2018-05-28T23:40:41Z,6,,53.73694444444445,24,274,Merged
Fixes #1589,2018-07-23T15:17:10Z,2018-07-24T17:23:28Z,2018-07-24T17:23:28Z,1,APPROVED,26.105,4,33,Merged
Some basic dev docs,2018-07-25T15:50:47Z,2018-08-01T14:43:54Z,2018-08-01T14:43:54Z,4,,166.8852777777778,3,0,Merged
Always stringify text node data,2018-08-04T13:35:47Z,2018-08-04T14:59:45Z,2018-08-04T14:59:45Z,1,APPROVED,1.3994444444444445,21,322,Merged
handle rest elements in computed properties,2018-08-04T14:30:14Z,2018-08-04T23:40:28Z,2018-08-04T23:40:28Z,3,APPROVED,9.170555555555556,6,426,Merged
register dependencies of dynamic component expressions,2018-08-04T19:48:09Z,2018-08-04T20:55:26Z,2018-08-04T20:55:26Z,1,APPROVED,1.121388888888889,5,12,Merged
encapsulate local styles inside global ones,2018-08-04T20:55:12Z,2018-08-04T23:39:59Z,2018-08-04T23:40:00Z,1,APPROVED,2.7463888888888888,3,11,Merged
"tweak readme, use npm ci",2018-08-04T21:19:45Z,2018-08-05T01:57:18Z,2018-08-05T01:57:19Z,3,APPROVED,4.6258333333333335,3,13,Merged
Debug Tag,2018-08-08T05:44:09Z,2018-08-11T21:19:03Z,2018-08-11T21:19:03Z,2,,87.58166666666666,13,412,Merged
fix #1600 for ios,2018-08-09T09:53:57Z,2018-08-11T21:24:34Z,2018-08-11T21:24:34Z,1,APPROVED,59.51027777777778,2,149,Merged
tests for #1635,2018-08-10T15:20:31Z,,2018-08-11T21:25:01Z,1,,30.075,12,79,Closed
don't warn on empty block for nbsp,2018-08-24T12:23:24Z,2018-08-24T23:41:29Z,2018-08-24T23:41:29Z,1,APPROVED,11.301388888888889,4,11,Merged
Set style attribute correctly when spread attr present,2018-08-24T15:16:46Z,2018-08-24T23:41:13Z,2018-08-24T23:41:13Z,1,,8.4075,1,16,Merged
Adds the class directive,2018-08-24T16:10:19Z,2018-08-25T01:39:26Z,2018-08-25T01:39:26Z,2,,9.485277777777778,13,117,Merged
Alternative approach to #1520,2018-08-25T11:03:46Z,2018-08-26T23:59:52Z,2018-08-26T23:59:52Z,1,,36.935,66,236,Merged
Adds class directive shortcut and encapsulate styles,2018-08-25T20:27:00Z,2018-08-28T19:10:22Z,2018-08-28T19:10:22Z,3,,70.72277777777778,4,652,Merged
Only update inputs when the value changed,2018-08-28T15:39:44Z,2018-08-28T19:07:03Z,2018-08-28T19:07:03Z,4,,3.455277777777778,9,529,Merged
fix blocks inside <svelte:head>,2018-10-17T20:51:55Z,2018-10-20T12:52:42Z,2018-10-20T12:52:42Z,1,APPROVED,64.01305555555555,3,12,Merged
include solidus in attribute values,2018-10-17T21:33:55Z,2018-10-20T12:52:54Z,2018-10-20T12:52:54Z,1,APPROVED,63.31638888888889,4,11,Merged
fix #1780 just start use parent instead parent.parent in IfBlock wrapper,2018-10-22T05:36:42Z,2018-10-23T01:40:26Z,2018-10-23T01:40:26Z,1,,20.06222222222222,3,45,Merged
recognise dependencies in class directives,2018-10-24T12:12:30Z,2018-10-24T15:50:33Z,2018-10-24T15:50:33Z,4,,3.6341666666666668,6,11,Merged
[WIP] Implement reactive assignments,2018-11-05T02:01:20Z,2018-12-16T00:18:04Z,2018-12-16T00:18:04Z,18,,982.2788888888889,1566,455,Merged
[WIP] v3 site,2018-12-21T04:51:53Z,2018-12-22T21:09:28Z,2018-12-22T21:09:28Z,5,,40.293055555555554,220,1314,Merged
make event handler names unique across components,2018-12-29T02:06:02Z,2018-12-29T05:13:34Z,2018-12-29T05:13:34Z,1,APPROVED,3.1255555555555556,3,11,Merged
always use stats.warn instead of options.onwarn,2018-12-29T03:24:37Z,2018-12-29T05:12:24Z,2018-12-29T05:12:24Z,1,APPROVED,1.7963888888888888,7,12,Merged
upgrade Acorn,2019-01-04T14:05:04Z,2019-01-05T02:59:14Z,2019-01-05T02:59:14Z,1,APPROVED,12.902777777777779,5,11,Merged
deconflict with implicit props,2019-01-04T18:51:13Z,2019-01-05T02:59:02Z,2019-01-05T02:59:02Z,1,APPROVED,8.130277777777778,5,211,Merged
typo,2019-01-04T19:04:13Z,2019-01-05T02:58:46Z,2019-01-05T02:58:46Z,1,APPROVED,7.909166666666667,4,95,Merged
set parent correctly for children of await blocks,2019-01-05T03:58:35Z,2019-01-13T19:19:55Z,2019-01-13T19:19:55Z,1,APPROVED,207.35555555555555,3,90,Merged
set immutable option correctly,2019-01-15T14:32:42Z,2019-01-16T01:39:18Z,2019-01-16T01:39:18Z,1,APPROVED,11.11,9,98,Merged
add nextTick lifecycle function - fixes #1976,2019-01-17T14:21:58Z,2019-01-19T13:16:53Z,2019-01-19T13:16:53Z,1,,46.915277777777774,5,951,Merged
repl: implement version=local,2019-01-19T15:53:20Z,2019-01-19T17:05:42Z,2019-01-19T17:05:42Z,2,,1.2061111111111111,5,355,Merged
